cell_id,dim1,dim2
W31105,1.178388665358363,0.5578238831948859
W31106,-5.741928824988054,-1.4480494917121676
W31107,8.413071097861122,6.877404245496903
W31108,-7.157015661308998,-5.23774950581487
W31109,7.8229177107535595,6.1837584699001145
W31110,-2.1630082218708484,-0.8433077492888773
W31111,3.6024272922898564,3.777056417954706
W31113,2.5131628030946773,-1.0371177523878852
W31114,2.4446385072806143,2.9764108798130815
W31115,8.006230591481701,1.308045329759797
W31116,3.1072529225266545,1.5004144900787408
W31117,-2.898553576565103,-0.4861023047894997
W31118,-5.0848451501115255,-0.22046278134913525
W31119,-2.439227757036363,0.4470941814117398
W31120,4.0133584661152,3.109095949518644
W31121,0.975085279717908,0.02763298947345656
W31122,6.02775635623069,5.331274655081482
W31123,4.715471412082266,3.3379801763274037
W31124,8.552034015812806,2.3649469764876767
W31125,-0.24898621353299968,7.691578761178283
W31126,3.0998834195796383,1.862106130778922
W31127,-2.405888367382481,1.0437811181288528
W31128,0.5690051294525679,2.5836765356763545
W31129,-1.4807721163480867,0.5651019820557515
W31130,-5.7220943766372985,-0.9320591862281677
W31131,-5.129634180536495,-3.5341974392846605
W31132,5.7083524456148895,-0.4935358270487092
W31133,-1.0115376436791919,-1.424484383468499
W31134,-1.76708327290873,-1.6867919471806285
W31136,5.083740111391178,5.366398055600471
W31137,4.443468516352354,3.994373156102552
W31138,5.051910396678007,6.514742158878342
W31139,4.080019017256228,-1.6117544020103403
W31140,3.933700256377843,5.787495326603707
W31141,-4.602417493576318,-0.18376539187726582
W31142,13.606336568120527,2.282859633191821
W31143,8.890856649189043,4.418504088278252
W31144,2.9894349118866486,2.3588515393687333
W31145,-3.519478154402511,-4.123791588948708
W31146,4.62310280686141,1.5744247073434119
W31147,5.495334726231596,1.0231817958422689
W31148,-5.668923288235825,-0.7201895796249552
W31150,-1.7819304450652382,-1.1130866961677799
W31151,8.92838599311402,7.366293052665496
W31152,-6.842585640758367,1.5489985316019377
W31153,4.3173978040198,3.6677975218352072
W31154,6.152673238673408,1.4759548895968382
W31155,-0.1220011091697657,-0.24077442494644172
W31156,6.002860994732907,1.6821246104142193
W31157,-1.3768886257511501,2.068913502205544
W31158,-3.965634207195757,-3.3373958749695665
W31159,3.2052063347504425,0.4970552271108749
W31160,-4.030062875054575,-0.6162625948413265
W31161,6.883743717986823,0.4006872968645502
W31162,4.08737216962415,0.7216191153364688
W31163,4.249191984958661,2.8448608819446135
W31164,-6.8373670722751765,1.3037396732646698
W31165,8.738236305746904,3.1826686573022114
W31166,-6.160473879639414,0.6914395170174561
W31167,8.649844813052944,3.150196750139258
W31168,-10.141897146466542,2.6394668734602535
W31169,-7.45828530018429,0.9098160919365142
W31170,-8.777313770445211,0.5317481232043022
W31171,0.7971404472250471,0.13711315522878467
W31172,1.6411092857944256,2.1402094093408928
W31173,0.6686387085822458,0.11401848590890647
W31174,-1.900682183295182,3.4718261239796795
W31175,-1.986617637319166,-0.9073269262975225
W31176,1.3579488367925694,1.2049506204760236
W31177,4.346477075117364,0.029617920736249144
W31178,3.651111933253392,-1.1556270126348556
W31179,-4.725373501509519,-3.6313757832247093
W31180,3.9975268473550023,1.22810471781076
W31181,-3.352825312433807,-5.853836941379347
W31182,-3.0643229473158384,-5.422572490982958
W31183,4.8328072003446945,5.4966674171328425
W31184,5.584093217849825,-0.4990843422026046
W31185,4.728834575120155,0.5306674715908313
W31186,-4.639103019943971,2.2527872342324637
W31187,-3.229048075306939,1.7034243738915658
W31188,-2.177583861481758,0.5904505456401342
W31189,-3.820976987269264,-2.5969303043570275
W31190,4.7141625832833025,-0.8804048852493651
W31191,1.697998505851076,0.8725704738176029
W31192,1.5093849955853342,0.40989094199387455
W31193,5.35756864093762,1.663709263290049
W31194,3.723824544153475,-0.5629244665213091
W31195,7.369412626364267,3.345421685844862
W31196,2.283461385047159,0.6629761968888682
W31197,-3.38276927714362,1.9652305700068367
W31198,5.83358305072168,0.8251520859697914
W31199,-1.2195109305102068,-0.7777230593312419
W31200,3.556758219942683,0.11213731244484496
W31201,1.4866660880821925,0.0016833678390292656
W31202,-5.939790087942721,-0.7363875499385866
W31203,-5.521730854565459,-2.2482393554492264
W31204,-1.8255408117732674,3.3985775716411113
W31205,5.166195265477154,0.9367023543218762
W31206,4.9397659028270855,6.518056468106021
W31207,-7.39608390260001,0.21948931259772492
W31209,13.46772647911209,2.9552441345890634
W31210,-5.7367606999023835,-0.8503733972160424
W31211,-6.5769225315516335,-0.9205027691433304
W31212,9.865748690796824,-2.878349623261115
W31213,3.249659960807882,-1.1067117945806364
W31214,7.060588217753543,-0.668219645791566
W31215,4.366777843150673,-1.1724553382755882
W31217,4.13736818263761,4.386552529006055
W31218,-7.106970424120556,0.15800840159997304
W31219,-1.3279610150262258,1.924010587162817
W31220,10.559079557279535,1.0912341466110889
W31221,0.2977981349878396,-0.31718321845626285
W31222,4.880937683222735,3.48150178526074
W31223,-0.007435144471835392,0.8000946348565814
W31224,0.6647747688298007,0.7375762343234435
