"node_id","dim1","dim2","is_root"
"Y_1",0.779702055916651,0.608009944348596,TRUE
"Y_2",6.42166330677614,5.65055356746411,FALSE
"Y_3",-5.32221095623984,-3.00491894314315,FALSE
"Y_4",-7.46256300721494,-0.592513974815405,FALSE
"Y_5",-3.32735280313263,-2.85420898986342,FALSE
"Y_6",-3.82272395043453,-2.15966077341174,FALSE
"Y_7",-7.60656516175556,0.906369765786845,FALSE
"Y_8",-2.01833345950311,-1.74120770969021,FALSE
"Y_9",-5.88509471620909,-0.790106480568379,FALSE
"Y_10",-4.02456840339361,-0.407958291579291,FALSE
"Y_11",-5.23867511046595,1.03358992901505,FALSE
"Y_12",-2.12113002318458,0.754136721588785,FALSE
"Y_13",-4.69870108084071,-5.19030574114041,FALSE
"Y_14",2.85270367251011,0.791867390722968,FALSE
"Y_15",-6.69266668975652,-0.11516581960674,FALSE
"Y_16",-2.49083765173429,-1.10319939821344,FALSE
"Y_17",-4.9869421307462,-6.88401887690894,FALSE
"Y_18",-3.58147993407765,1.84464587708144,FALSE
"Y_19",2.89596412773969,-0.481001332933161,FALSE
"Y_20",-2.83945651457134,0.17354493892541,FALSE
"Y_21",4.80561560844303,4.28198950453029,FALSE
"Y_22",4.8153601036634,3.24112866139737,FALSE
"Y_23",6.07374899606811,2.04674985400619,FALSE
"Y_24",-3.20003839882557,-0.654017984083309,FALSE
"Y_25",5.20397884910767,5.85914382500722,FALSE
"Y_26",5.58831074626728,0.653769849341107,FALSE
"Y_27",-1.11438368022636,1.69894945449628,FALSE
"Y_28",1.2123261495598,1.17715334730548,FALSE
"Y_29",0.0409453632496381,1.29244470912578,FALSE
"Y_30",8.87367025313978,6.7107964712063,FALSE
"Y_31",-3.32654174338589,0.957484935702182,FALSE
"Y_32",3.93272680678198,-0.370977823159847,FALSE
"Y_33",-2.73069266626438,-2.33676062822851,FALSE
"Y_34",4.68655658245741,0.354077268706226,FALSE
"Y_35",-4.1385303295733,-6.37159254925612,FALSE
"Y_36",-5.29903204227449,-2.11118457533639,FALSE
"Y_37",-2.05412456680879,1.66568689258856,FALSE
"Y_38",3.96814676201239,5.08041677023948,FALSE
"Y_39",-7.09061120771949,0.424820591083699,FALSE
"Y_40",2.01292578140422,1.10530195758712,FALSE
"Y_41",-5.67486238363582,0.00450680410710381,FALSE
"Y_42",-3.60682148117852,-3.48336964647681,FALSE
"Y_43",5.2039264671751,2.35931841793,FALSE
"Y_44",6.43320835939484,1.06468394900407,FALSE
"Y_45",-6.29844216129941,-1.91629388755063,FALSE
"Y_46",-6.46160850495227,-1.23099280031272,FALSE
"Y_47",7.97645571813055,5.44812036690416,FALSE
"Y_48",-6.32005044830431,-6.67448217824185,FALSE
"Y_49",-3.76568034459076,-5.49019719474553,FALSE
"Y_50",-5.74520118872634,-1.76238766129059,FALSE
"Y_51",-4.33478973898045,-4.21183845563105,FALSE
"Y_52",-4.49864210174355,-2.59561364878626,FALSE
