"cell_id","paul15_clusters","dim1","dim2","pseudotime"
"W31105","7MEP",0.0183197152183141,0.0147638574749806,0.00229099568936613
"W31106","15Mo",-0.122672024566359,-0.028432769111957,0.000178859197253939
"W31107","3Ery",0.14494114198004,0.0697976762355316,0.0771091244272998
"W31108","15Mo",-0.139493491479081,-0.0640559081410723,0.000178601475067694
"W31109","3Ery",0.147911240483871,0.0655776485689668,0.0771093821494861
"W31110","15Mo",-0.105251308086155,-0.0473302494917658,0.000178343752881449
"W31111","4Ery",0.107978962035226,0.0611244880523683,0.0771096398716723
"W31113","2Ery",0.028651597504259,-0.00262419410053101,0.00927010407326935
"W31114","3Ery",0.0772510108351406,0.0466975053349651,0.00553578083463668
"W31115","2Ery",0.155751016124165,0.0440230998683545,0.0771098975938586
"W31116","2Ery",0.143604814400394,0.0279818130356155,0.0771101553160448
"W31117","17Neu",-0.0325218053735631,0.0120903267513401,0.000469708361299846
"W31118","14Mo",-0.128630263503896,-0.0405782897571274,0.000178086030695204
"W31119","13Baso",-0.0853997901607821,-0.00994273195123748,0.0130208279771312
"W31120","3Ery",0.145908620406225,0.0591635837331119,0.0771104130382311
"W31121","7MEP",0.0160954427405333,0.00130354631483281,0.0811362378446378
"W31122","3Ery",0.122825561593683,0.0758705882267691,0.0771106707604173
"W31123","3Ery",0.148862911912081,0.0622430011075742,0.0771109284826035
"W31124","2Ery",0.168633447210057,0.0435115036816174,0.0771111862047898
"W31125","8Mk",-0.0135762036926558,0.0442235705478404,0.0609673691008822
"W31126","3Ery",0.095958299589893,0.0480718569103163,0.071168416704663
"W31127","9GMP",-0.0647464659534163,0.012831721059872,0.000920202883071625
"W31128","8Mk",-0.0171363369284725,0.0324341088320086,0.052525755347301
"W31129","10GMP",-0.0446239173283151,-0.0136006686193883,0.0104226318362947
"W31130","15Mo",-0.103806951191944,-0.0396637714509873,0.000177828308508959
"W31131","16Neu",-0.130380034853056,-0.0612670368535551,0.000177570586322714
"W31132","4Ery",0.136796477264109,0.0342044102087689,0.077111443926976
"W31133","13Baso",-0.0602296854473346,0.00330141798935921,0.00016941873623778
"W31134","17Neu",-0.0323753550725814,-0.00422299442543476,0.00727029648258093
"W31136","3Ery",0.134123609957902,0.0629515241187457,0.0771117016491623
"W31137","2Ery",0.144973118160505,0.0504162280998695,0.0771119593713485
"W31138","3Ery",0.103157232838924,0.0653121543430779,0.0771122170935348
"W31139","5Ery",0.0972751836878522,0.0249577414340169,0.0706632315717384
"W31140","3Ery",0.104315506966617,0.0560701084992785,0.077112474815721
"W31141","13Baso",-0.104050927759889,-0.00400991816374782,0.00017731286413647
"W31142","1Ery",0.179932471562512,0.0316007142432538,0.0771127325379073
"W31143","3Ery",0.155454097307569,0.0687674634030389,0.0771129902600935
"W31144","6Ery",0.0913833567023013,0.0520206123514247,0.0703353158882863
"W31145","15Mo",-0.11735574568097,-0.0792077792940916,0.000177055141950225
"W31146","3Ery",0.111765156598639,0.0405106842927703,0.0771132479822798
"W31147","3Ery",0.144740852071484,0.0624726454109435,0.077113505704466
"W31148","14Mo",-0.14310961989876,-0.0282855566436485,0.00017679741976398
"W31150","12Baso",-0.0422365284476003,0.00884693019629777,0.0135549466737005
"W31151","3Ery",0.143933955732868,0.082777500002422,0.0771137634266522
"W31152","14Mo",-0.127827265134182,-0.0226449783238404,0.000176539697577735
"W31153","6Ery",0.112993813033292,0.0592505925247319,0.0771140211488385
"W31154","4Ery",0.132820454737716,0.0517148461195137,0.0771142788710247
"W31155","7MEP",0.00229798473901326,-0.00339905407433426,0.0629877857250515
"W31156","2Ery",0.15699455056523,0.0411205255574126,0.077114536593211
"W31157","13Baso",-0.0567840387471811,-0.0028232797530769,0.000387225913237924
"W31158","14Mo",-0.128253564087534,-0.0723625705436931,0.00017628197539149
"W31159","6Ery",0.0801971551052619,0.0325358397336869,0.00597691928329297
"W31160","18Eos",-0.0574227302912812,0.0280195673014534,0.0128142319266858
"W31161","4Ery",0.139887462750879,0.0515261777539638,0.0771147943153972
"W31162","3Ery",0.115785889026964,0.0217835386420032,0.0771150520375835
"W31163","3Ery",0.115298760731389,0.0595689139082538,0.0771153097597697
"W31164","14Mo",-0.122824709034462,-0.0261615340450896,0.000176024253205245
"W31165","2Ery",0.161041754658836,0.0491620515340367,0.077115567481956
"W31166","13Baso",-0.124566855254619,-0.00789973604309231,0.000175766531019
"W31167","2Ery",0.160222940574949,0.0469740565615377,0.0771158252041422
"W31168","13Baso",-0.152386992701078,-0.0228231847195866,0.000175508808832756
"W31169","13Baso",-0.119240341204126,-0.00614017195088731,0.000175251086646511
"W31170","14Mo",-0.147566626067965,-0.0353257478827599,0.000174993364460266
"W31171","7MEP",0.0149154151110684,0.0143451114067569,0.0843657745214964
"W31172","7MEP",0.0670111594340116,0.0411933692974365,0.0190412380089095
"W31173","7MEP",0.00858597705050067,0.0130127428581342,0.0763348986608563
"W31174","10GMP",-0.0619716809041098,-0.00456608839608367,0.00616207704766509
"W31175","12Baso",-0.0448188230332387,0.0111423047360386,0.0156828576250353
"W31176","6Ery",0.052318663228935,0.0210346472564742,0.0418693413527684
"W31177","5Ery",0.0869436471920793,0.0385136713413737,0.0791221426290717
"W31178","5Ery",0.0931221178852378,0.0292498981766206,0.0743717495211597
"W31179","14Mo",-0.12254711479053,-0.066117166441022,0.000174735642274021
"W31180","4Ery",0.138314830787933,0.0381058979725223,0.0771160829263284
"W31181","16Neu",-0.111230148519529,-0.0800866637556177,0.000174477920087776
"W31182","16Neu",-0.115984230964183,-0.0821029313558614,0.000174220197901531
"W31183","3Ery",0.124443378052246,0.0593572061114516,0.0771163406485147
"W31184","2Ery",0.159322879314589,0.044025057366653,0.0771165983707009
"W31185","6Ery",0.131216203198876,0.0319612691622566,0.0771168560928872
"W31186","13Baso",-0.100399180340644,0.00489560791115358,7.96131036363834e-06
"W31187","13Baso",-0.0815269032495368,0.00433547573366286,0.00696875276319767
"W31188","10GMP",-0.0646554598877766,0.00839587626092529,0.00300175516608547
"W31189","14Mo",-0.115543401001691,-0.0643236089702621,0.000173962475715286
"W31190","5Ery",0.12202886140457,0.0164007354959068,0.0771171138150734
"W31191","7MEP",0.0180316943969781,0.0175945170326142,0.00279905581434429
"W31192","7MEP",0.0164615256984452,0.0155781096382858,0.000342011732455502
"W31193","5Ery",0.118746292730987,0.0401679993658823,0.0771173715372597
"W31194","6Ery",0.0697744850541736,0.0122780474426173,0.0237472618219047
"W31195","2Ery",0.160157281262756,0.050258516785981,0.0771176292594459
"W31196","10GMP",0.0760017956873542,0.0261796082618844,0.0126368852220191
"W31197","10GMP",-0.0778945634471426,0.00349800846904453,0.00374739311714356
"W31198","2Ery",0.141479852839169,0.0336305060241902,0.0771178869816322
"W31199","7MEP",-0.00897952570420265,0.00131237370435523,0.0511989148876264
"W31200","6Ery",0.0670625218247675,0.0225839387468438,0.024091863477318
"W31201","7MEP",0.0235465425157827,0.00210380172748858,0.00466587976218159
"W31202","14Mo",-0.100915040710428,-0.014083268888979,0.000173704753529041
"W31203","16Neu",-0.11165775532779,-0.0439701549468471,0.000173447031342797
"W31204","10GMP",-0.0604972579103864,-0.00633276609039674,0.00525192293393142
"W31205","3Ery",0.139135399442215,0.0345826522172445,0.0771181447038184
"W31206","3Ery",0.133943152751276,0.0757628079940376,0.0771184024260047
"W31207","13Baso",-0.141779480636595,-0.0263488182209492,0.000173189309156552
"W31209","1Ery",0.172391886353873,0.0508785294762147,0.0771186601481909
"W31210","14Mo",-0.112332610490575,-0.0289182661060267,0.000172931586970307
"W31211","15Mo",-0.130190259209313,-0.0383654337829664,0.000172673864784062
"W31212","2Ery",0.124225115244791,0.00532457503569714,0.0771189178703771
"W31213","5Ery",0.0759359086705287,0.0116788964622786,0.0166980768025424
"W31214","2Ery",0.16895120113773,0.0188415337805489,0.0771191755925634
"W31215","5Ery",0.104833675769069,0.0114228185391404,0.0718774919767588
"W31217","3Ery",0.136510265637321,0.0715420082289294,0.0771194333147496
"W31218","14Mo",-0.113206181627948,-0.0357790647647938,0.000172416142597817
"W31219","10GMP",-0.0643078760674204,-0.00540621707809713,0.00827117634834292
