cell_id,paul15_clusters,dim1,dim2,pseudotime
W31105,7MEP,0.924052000045776,0.732167720794678,1.93134036172003
W31106,15Mo,-6.1912956237793,-1.46933150291443,9.37477607778569
W31107,3Ery,7.32818126678467,3.53269863128662,11.5765833672269
W31108,15Mo,-7.01015758514404,-3.28965997695923,11.278316998285
W31109,3Ery,7.45541763305664,3.36268448829651,11.5765841359986
W31110,15Mo,-5.67367315292358,-2.87215328216553,11.2880633257555
W31111,4Ery,5.48680973052979,3.10368037223816,6.83798477937417
W31113,2Ery,1.15072298049927,-0.182010114192963,2.30479345802618
W31114,3Ery,3.90129637718201,2.30210089683533,5.99128461590688
W31115,2Ery,7.84258222579956,2.22635459899902,11.5765849047703
W31116,2Ery,7.40803480148315,1.42910242080688,11.4905584463286
W31117,17Neu,-1.60518956184387,0.735153794288635,1.97133692207966
W31118,14Mo,-6.67400312423706,-2.25487875938416,9.38087734302773
W31119,13Baso,-4.39840793609619,-0.481694996356964,7.1756544162251
W31120,3Ery,7.39823722839355,3.00178360939026,11.576585673542
W31121,7MEP,0.812543511390686,0.0390053726732731,2.34271974864714
W31122,3Ery,6.18765640258789,3.74121713638306,8.85908870735345
W31123,3Ery,7.5551905632019,3.15654349327087,11.5765864423137
W31124,2Ery,8.46969223022461,2.17617750167847,11.5765872110854
W31125,8Mk,-0.716661214828491,2.1054904460907,1.97133769085134
W31126,3Ery,4.86586141586304,2.43863749504089,6.83798554814585
W31127,9GMP,-3.32195138931274,0.620693802833557,5.10990330405191
W31128,8Mk,-0.880465090274811,1.70148575305939,1.98395230535724
W31129,10GMP,-2.23852229118347,-0.738810896873474,4.06083133692468
W31130,15Mo,-5.20433330535889,-2.00958275794983,10.7693577539572
W31131,16Neu,-6.66035842895508,-3.26437473297119,11.2783177670566
W31132,4Ery,6.89871597290039,1.70765316486359,11.5765879798571
W31133,13Baso,-3.2514271736145,0.205517649650574,5.36322288886501
W31134,17Neu,-1.36603045463562,0.0939375087618828,2.11949693443292
W31136,3Ery,6.77696657180786,3.24540233612061,11.5765887486287
W31137,2Ery,7.367431640625,2.48427486419678,11.5765895174004
W31138,3Ery,5.31431484222412,3.26955914497375,6.83798631691754
W31139,5Ery,5.12405824661255,1.39179658889771,8.63169517731122
W31140,3Ery,5.29360675811768,2.89234852790833,6.83798708568923
W31141,13Baso,-5.19207715988159,-0.161947563290596,7.37110269359488
W31142,1Ery,8.876784324646,1.56850969791412,11.5765902861721
W31143,3Ery,7.75021886825562,3.44455361366272,11.5765910549438
W31144,6Ery,4.68907928466797,2.61050319671631,6.83798785446091
W31145,15Mo,-5.9089183807373,-4.03938341140747,11.2783185358283
W31146,3Ery,5.65205955505371,2.03954362869263,8.85908947612513
W31147,3Ery,7.32885932922363,3.27163887023926,11.5765918237155
W31148,14Mo,-7.26950979232788,-1.45343136787415,9.60241836145337
W31150,12Baso,-1.94191324710846,0.644837319850922,2.88485413624042
W31151,3Ery,7.21062755584717,3.90814423561096,11.5765925924872
W31152,14Mo,-6.54611253738403,-1.21067106723785,9.59679316077519
W31153,6Ery,5.69376659393311,3.02690935134888,6.8379886232326
W31154,4Ery,6.77926015853882,2.68549346923828,11.5765933612589
W31155,7MEP,0.154617860913277,-0.0643489509820938,0.110862521551452
W31156,2Ery,7.89550495147705,2.07259225845337,11.5765941300305
W31157,13Baso,-2.86458110809326,-0.19052654504776,4.35567340497261
W31158,14Mo,-6.53755331039429,-3.78439426422119,11.2783193046
W31159,6Ery,4.05267143249512,1.63500475883484,6.31692956157158
W31160,18Eos,-2.62469291687012,1.92984068393707,3.53085270440369
W31161,4Ery,7.0463604927063,2.70983123779297,11.5765948988022
W31162,3Ery,5.76977396011353,1.11431384086609,9.13754080386351
W31163,3Ery,5.87380647659302,2.96986293792725,8.85909024489682
