cell_id,paul15_clusters,umap1,umap2,dpt_pseudotime_finite
W31105,7MEP,5.714427471160889,0.2884764075279236,0.26394036412239075
W31106,15Mo,8.525863647460938,15.880221366882324,0.2705714702606201
W31107,3Ery,-11.033063888549805,-1.1747450828552246,0.8279320597648621
W31108,15Mo,12.421757698059082,20.803335189819336,0.2984533905982971
W31109,3Ery,-10.24229621887207,-1.5771689414978027,0.8032098412513733
W31110,15Mo,10.372251510620117,8.024048805236816,0.11116164177656174
W31111,4Ery,1.659590482711792,-13.942825317382812,0.5717760920524597
W31113,2Ery,6.038065433502197,-6.0980048179626465,0.44718968868255615
W31114,3Ery,5.736551284790039,-4.705605983734131,0.4654439389705658
W31115,2Ery,-9.311596870422363,-5.350938320159912,0.781943142414093
W31116,2Ery,8.20340633392334,-1.0205180644989014,0.6347707509994507
W31117,17Neu,13.558128356933594,5.9943413734436035,0.13448494672775269
W31118,14Mo,5.622185707092285,11.775628089904785,0.16898179054260254
W31119,13Baso,7.056563854217529,9.495683670043945,0.15300790965557098
W31120,3Ery,-4.844692707061768,-3.1124515533447266,0.7562916278839111
W31121,7MEP,6.492487907409668,1.966654658317566,0.21997907757759094
W31122,3Ery,-5.2394537925720215,1.157064437866211,0.7292134761810303
W31123,3Ery,-2.9852352142333984,-0.0008629236835986376,0.6881809830665588
W31124,2Ery,-8.18488883972168,-5.840954303741455,0.7469868659973145
W31125,8Mk,15.886004447937012,-2.8575351238250732,0.3730767071247101
W31126,3Ery,5.3047566413879395,-12.224747657775879,0.5128334164619446
W31127,9GMP,8.916537284851074,7.613503456115723,0.018819518387317657
W31128,8Mk,10.849722862243652,1.2710551023483276,0.217029869556427
W31129,10GMP,7.27933931350708,5.913023948669434,0.0
W31130,15Mo,7.776140213012695,16.08292579650879,0.19056154787540436
W31131,16Neu,11.473575592041016,19.134502410888672,0.2856970429420471
W31132,4Ery,-1.9555656909942627,-6.525272846221924,0.6538330912590027
W31133,13Baso,10.903499603271484,6.590338230133057,0.052392784506082535
W31134,17Neu,11.99344253540039,7.191420078277588,0.09715180844068527
W31136,3Ery,-6.300817012786865,-0.4277680814266205,0.7594070434570312
W31137,2Ery,-4.501400470733643,0.0034423465840518475,0.7229284644126892
W31138,3Ery,-4.7798027992248535,2.0742363929748535,0.6974040865898132
W31139,5Ery,4.876315116882324,-9.46280574798584,0.46873870491981506
W31140,3Ery,-0.7461225986480713,-15.258180618286133,0.6383286118507385
W31141,13Baso,5.823813438415527,11.699116706848145,0.16430340707302094
W31142,1Ery,-11.589323997497559,-10.197772026062012,1.0
W31143,3Ery,-9.459757804870605,-1.1915898323059082,0.7791982293128967
W31144,6Ery,5.019991874694824,-12.261539459228516,0.48527991771698
W31145,15Mo,15.381484031677246,14.091976165771484,0.32656335830688477
W31146,3Ery,3.461142063140869,-11.871818542480469,0.5063580870628357
W31147,3Ery,-5.139906883239746,-5.352383613586426,0.6454961895942688
W31148,14Mo,5.824687957763672,13.629769325256348,0.1515999585390091
W31150,12Baso,10.589945793151855,6.914491653442383,0.06286512315273285
W31151,3Ery,-11.634539604187012,-0.791985034942627,0.8505136370658875
W31152,14Mo,1.518418788909912,13.794652938842773,0.23782534897327423
W31153,6Ery,0.9456501007080078,-13.447199821472168,0.6470092535018921
